VALUE,BPS_CODE,ZONE,BPS_MODEL,BPS_NAME,GROUPVEG,FRI_REPLAC,FRI_MIXED,FRI_SURFAC,FRI_ALLFIR,PRC_REPLAC,PRC_MIXED,PRC_SURFAC,FRG_NEW,R,G,B,RED,GREEN,BLUE
973,10540,16,10540_16_23_24,Southern Rocky Mountain Ponderosa Pine Woodland,Conifer,280,226,20,17,6,8,86,I-C,168,56,0,0.658823529,0.219607843,0
974,10550,16,10550_16_23_24,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland,Conifer,214,7242,NA,208,97,3,NA,V-A,211,255,190,0.82745098,1,0.745098039
975,10560,16,10560_16_23,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland,Conifer,217,6998,NA,210,97,3,NA,V-A,56,168,0,0.219607843,0.658823529,0
976,10570,16,10570_12_16,Rocky Mountain Subalpine-Montane Limber-Bristlecone Pine Woodland,Conifer,508,NA,199,143,28,NA,72,III-B,227,223,162,0.890196078,0.874509804,0.635294118
977,10611,16,10611_16_23_24,Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland-Low Elevation,Hardwood-Conifer,43,13,NA,10,24,76,NA,I-B,230,230,0,0.901960784,0.901960784,0
978,10612,16,10612_16_23,Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland-High Elevation,Hardwood-Conifer,70,60,NA,32,46,54,NA,I-C,200,230,0,0.784313725,0.901960784,0
979,10620,16,10620_16_23,Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland and Shrubland,Shrubland,246,137,228,64,26,46,28,III-A,191,19,230,0.749019608,0.074509804,0.901960784
980,10640,16,10640_15_16_17_23_24_27_28,Colorado Plateau Mixed Low Sagebrush Shrubland,Shrubland,239,119,NA,79,33,67,NA,III-A,158,170,215,0.619607843,0.666666667,0.843137255
981,10700,16,10700_16,Rocky Mountain Alpine Dwarf-Shrubland,Shrubland,227,NA,NA,227,100,NA,NA,V-A,19,118,92,0.074509804,0.462745098,0.360784314
982,10780,16,10780_16_23_24_25,Colorado Plateau Blackbrush-Mormon-tea Shrubland,Shrubland,146,162,NA,77,53,47,NA,III-A,52,155,207,0.203921569,0.607843137,0.811764706
983,10790,16,10790_6_9_10_12_16_17_18,Great Basin Xeric Mixed Sagebrush Shrubland,Shrubland,94,831,NA,84,90,10,NA,IV-A,57,194,207,0.223529412,0.760784314,0.811764706
985,10810,16,10810_15_16_23_24_28,Inter-Mountain Basins Mixed Salt Desert Scrub,Shrubland,616,NA,NA,616,100,NA,NA,V-B,245,202,122,0.960784314,0.792156863,0.478431373
986,10860,16,10860_13_16_17_18_21_23,Rocky Mountain Lower Montane-Foothill Shrubland,Shrubland,102,28,NA,22,21,79,NA,I-C,137,68,101,0.537254902,0.266666667,0.396078431
987,10930,16,10930_13_15_16_23_24_28,Southern Colorado Plateau Sand Shrubland,Shrubland,220,NA,NA,220,100,NA,NA,V-A,134,219,24,0.525490196,0.858823529,0.094117647
988,11020,16,11020_13_15_16_23_24,Colorado Plateau Pinyon-Juniper Shrubland,Conifer,333,222,127,65,20,29,51,III-A,255,0,0,1,0,0
989,11030,16,11030_6_7_12_13_16_17_23,Great Basin Semi-Desert Chaparral,Shrubland,50,NA,NA,50,100,NA,NA,IV-A,174,250,255,0.682352941,0.980392157,1
990,11071,16,11071_16,Rocky Mountain Gambel Oak-Mixed Montane Shrubland -Continuous,Shrubland,57,162,NA,42,74,26,NA,III-A,115,255,223,0.450980392,1,0.874509804
991,11072,16,11072_16,Rocky Mountain Gambel Oak-Mixed Montane Shrubland-Patchy,Shrubland,153,51,NA,39,25,75,NA,III-A,102,205,171,0.4,0.803921569,0.670588235
992,11150,16,11150_15_16_23_24,Inter-Mountain Basins Juniper Savanna,Conifer,333,218,126,64,20,29,51,III-A,137,112,68,0.537254902,0.439215686,0.266666667
993,11170,16,11170_16_23_24,Southern Rocky Mountain Ponderosa Pine Savanna,Conifer,158,80,9,8,5,10,85,I-B,255,85,0,1,0.333333333,0
994,11250,16,11250_6_12_13_15_16_17_18_23_24_25_28,Inter-Mountain Basins Big Sagebrush Steppe,Shrubland,117,NA,NA,117,100,NA,NA,IV-B,255,115,223,1,0.450980392,0.874509804
995,11261,16,11261_16_23_24,Inter-Mountain Basins Montane Sagebrush Steppe-Mountain Big Sagebrush,Shrubland,49,NA,NA,49,100,NA,NA,IV-A,230,0,169,0.901960784,0,0.662745098
996,11262,16,11262_16_23,Inter-Mountain Basins Montane Sagebrush Steppe-Low Sagebrush,Shrubland,219,NA,NA,219,100,NA,NA,V-A,255,197,191,1,0.77254902,0.749019608
997,11270,16,11270_16_23_24_25,Inter-Mountain Basins Semi-Desert Shrub-Steppe,Shrubland,105,NA,NA,105,100,NA,NA,IV-B,194,158,215,0.760784314,0.619607843,0.843137255
998,11350,16,11350_16_23_24,Inter-Mountain Basins Semi-Desert Grassland,Grassland,25,NA,NA,25,100,NA,NA,II-C,185,174,211,0.725490196,0.682352941,0.82745098
999,11440,16,11440_12_16_19_28,Rocky Mountain Alpine Turf,Grassland,207,NA,NA,207,100,NA,NA,V-A,93,43,29,0.364705882,0.168627451,0.11372549
1000,11450,16,11450_16,Rocky Mountain Subalpine-Montane Mesic Meadow,Grassland,40,160,NA,32,80,20,NA,II-C,0,197,255,0,0.77254902,1
1001,11460,16,11460_15_16_23_24_25_28,Southern Rocky Mountain Montane-Subalpine Grassland,Grassland,20,NA,21,10,52,NA,48,I-B,167,205,178,0.654901961,0.803921569,0.698039216
1002,11530,16,11530_16_23_24_25_27,Inter-Mountain Basins Greasewood Flat,Shrubland,208,NA,NA,208,100,NA,NA,V-A,225,225,225,0.882352941,0.882352941,0.882352941
1003,11540,16,11540_6_12_16_17,Inter-Mountain Basins Montane Riparian Systems,Riparian,378,NA,NA,378,100,NA,NA,V-A,154,156,117,0.603921569,0.611764706,0.458823529
1004,11590,16,11590_16_23_24_26,Rocky Mountain Montane Riparian Systems,Riparian,270,NA,79,61,23,NA,77,III-A,123,124,93,0.482352941,0.48627451,0.364705882
1005,11600,16,11600_16,Rocky Mountain Subalpine/Upper Montane Riparian Systems,Riparian,271,NA,80,61,23,NA,77,III-A,49,165,167,0.192156863,0.647058824,0.654901961
1006,10010,23,10010,Inter-Mountain Basins Sparsely Vegetated Systems,Sparse,NA,NA,NA,NA,NA,NA,NA,NA,255,255,190,1,1,0.745098039
1007,10040,23,10040,North American Warm Desert Sparsely Vegetated Systems,Sparse,NA,NA,NA,NA,NA,NA,NA,NA,255,242,189,1,0.949019608,0.741176471
1008,10060,23,10060,Rocky Mountain Alpine/Montane Sparsely Vegetated Systems,Sparse,NA,NA,NA,NA,NA,NA,NA,NA,78,78,78,0.305882353,0.305882353,0.305882353
1009,10110,23,10110_16_23_24,Rocky Mountain Aspen Forest and Woodland,Hardwood,59,50,NA,27,46,54,NA,I-C,255,255,115,1,1,0.450980392
1010,10160,23,10160_16_23_24_25,Colorado Plateau Pinyon-Juniper Woodland,Conifer,435,195,2265,127,29,65,6,III-B,205,170,102,0.803921569,0.666666667,0.4
1011,10490,23,10490_19_20_21_23_28_29,Rocky Mountain Foothill Limber Pine-Juniper Woodland,Conifer,385,NA,NA,385,100,NA,NA,V-A,102,205,171,0.4,0.803921569,0.670588235
1012,10500,23,10500_16_23_28,Rocky Mountain Lodgepole Pine Forest,Conifer,152,NA,640,123,81,NA,19,IV-B,128,251,26,0.501960784,0.984313725,0.101960784
1013,10510,23,10510_15_16_17_22_23_24_25,Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland,Conifer,90,77,14,11,12,14,74,I-B,190,210,255,0.745098039,0.823529412,1
1014,10520,23,10520_16_23_24,Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland,Conifer,180,89,74,33,19,37,44,I-C,115,149,230,0.450980392,0.584313725,0.901960784
1015,10540,23,10540_16_23_24,Southern Rocky Mountain Ponderosa Pine Woodland,Conifer,280,226,20,17,6,8,86,I-C,168,56,0,0.658823529,0.219607843,0
1016,10550,23,10550_16_23_24,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland,Conifer,214,7242,NA,208,97,3,NA,V-A,211,255,190,0.82745098,1,0.745098039
1017,10560,23,10560_16_23,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland,Conifer,217,6998,NA,210,97,3,NA,V-A,56,168,0,0.219607843,0.658823529,0
1018,10570,23,10570_23,Rocky Mountain Subalpine-Montane Limber-Bristlecone Pine Woodland,Conifer,502,NA,200,143,29,NA,71,III-B,227,223,162,0.890196078,0.874509804,0.635294118
1019,10611,23,10611_16_23_24,Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland-Low Elevation,Hardwood-Conifer,43,13,NA,10,24,76,NA,I-B,230,230,0,0.901960784,0.901960784,0
1020,10612,23,10612_16_23,Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland-High Elevation,Hardwood-Conifer,70,60,NA,32,46,54,NA,I-C,200,230,0,0.784313725,0.901960784,0
1021,10620,23,10620_16_23,Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland and Shrubland,Shrubland,246,137,228,64,26,46,28,III-A,191,19,230,0.749019608,0.074509804,0.901960784
1022,10640,23,10640_15_16_17_23_24_27_28,Colorado Plateau Mixed Low Sagebrush Shrubland,Shrubland,239,119,NA,79,33,67,NA,III-A,158,170,215,0.619607843,0.666666667,0.843137255
1023,10660,23,10660_16_23_24,Inter-Mountain Basins Mat Saltbush Shrubland,Shrubland,NA,NA,NA,NA,NA,NA,NA,NA,11,190,127,0.043137255,0.745098039,0.498039216
1024,10780,23,10780_16_23_24_25,Colorado Plateau Blackbrush-Mormon-tea Shrubland,Shrubland,146,162,NA,77,53,47,NA,III-A,52,155,207,0.203921569,0.607843137,0.811764706
1026,10810,23,10810_15_16_23_24_28,Inter-Mountain Basins Mixed Salt Desert Scrub,Shrubland,616,NA,NA,616,100,NA,NA,V-B,245,202,122,0.960784314,0.792156863,0.478431373
